SBP,DBP,Sa,Da,A1,A2,IPA,ST,DT,PI,PPI,FWHM,AI,SI
126.4375,58.75,0.2157470703125,0.06567230224609374,2.7412109375,4.075,0.67578125,47.4,19.1,0.052911376953125006,36.3,2.5847764968292006,4.3841796875,0.012740976969401043
126.3125,61.15625,0.278564453125,-0.5689453125,-16.7234375,-4.98359375,3.434765625,48.4,16.0,0.34111328125,37.6,2.6764936111029973,-0.493115234375,0.01746505438112745
124.6875,58.03125,0.14671630859375,0.08287353515625,2.919921875,3.7939453125,0.7914794921874999,45.5,22.1,0.0178192138671875,35.099999999999994,2.369203334074533,1.7931640624999998,0.007874819600267077
109.3125,49.53125,0.208642578125,0.18443603515625,4.3359375,8.863671875,0.52607421875,39.0,33.1,0.00577392578125,37.8,9.562346796985459,1.1302734375,0.008407135415368736
104.0,51.6875,0.1803466796875,0.1158203125,3.36953125,5.06796875,0.697900390625,47.6,26.0,0.02554931640625,39.0,4.0081283261996745,1.601171875,0.008780833431580032
107.6875,53.59375,0.2333984375,0.1634033203125,3.643359375,7.78203125,0.509423828125,39.2,28.0,0.02197265625,31.4,8.07046609185454,1.4408203125,0.010592345745242827
95.375,71.9375,0.71884765625,0.3568359375,11.5109375,15.2109375,0.7548828125,59.0,18.0,0.1416748046875,49.6,4.397298010069509,2.0115234375,0.04021527710590815
92.75,66.9375,0.58916015625,0.28701171875,9.2875,12.159375,0.76015625,59.8,18.0,0.1088134765625,55.8,4.633436176593511,2.077734375,0.032660590277777776
96.0,72.9375,0.578515625,0.30087890625,8.6765625,14.6203125,0.620947265625,48.8,27.8,0.110595703125,38.4,4.240543513268728,2.0134765625,0.02584084221985548
102.3125,51.53125,0.1580078125,0.05775146484375,1.825,5.714453125,0.332373046875,37.8,52.6,0.00604248046875,24.6,4.471903223449777,2.934375,0.003767389808766043
86.3125,48.75,0.23818359375,0.165478515625,3.684765625,11.70625,0.355615234375,39.6,46.6,0.01181640625,28.8,10.982697493221997,1.4541015625,0.006562842584425403
95.625,46.8125,0.5306640625,0.38505859375,13.7578125,16.1296875,0.844140625,58.6,19.2,0.048486328125,51.2,5.339235948837591,1.3779296875,0.027574306860902252
95.5,71.5625,-0.12994384765625,-0.1349853515625,-5.266796875000001,-5.59609375,0.9455078125,57.4,25.1,0.00167236328125,65.7,16.061805555555555,0.9626953125,-0.005213286132212136
125.75,58.65625,0.4169189453125,-0.4398193359375,-10.473828125,-0.6927978515625,-1.4599609375,46.5,15.899999999999999,0.3620849609375,35.9,2.3960166478101987,-0.9586425781250001,0.026380595573190214
115.3125,57.15625,1.0802734374999998,0.6922363281249999,27.4609375,21.22890625,1.417822265625,59.6,8.1,0.049609375,61.3,4.786421482855848,1.58037109375,0.06633641770510287
140.625,49.59375,0.1591064453125,-0.0050689697265625,0.45400390625,1.3904296875,0.3154541015625,47.4,17.4,0.0362335205078125,44.8,10.869333178936566,-5.725,0.009123410920357728
185.625,46.78125,-0.1310546875,-0.146533203125,-4.971875,-5.51953125,0.96796875,59.4,16.0,0.0011962890625,42.4,4.529414474414475,0.89384765625,-0.007486127931847081
151.375,58.84375,0.23827514648437498,-0.052587890625,-0.57431640625,1.55472412109375,3.8511962890625004,51.9,21.5,0.0520416259765625,37.8,2.8518039795634946,-3.255859375,0.003755561090496896
147.625,73.25,0.18143310546875,-0.5039794921875,-14.618749999999999,-8.753125,1.36875,60.0,15.7,0.08369140624999999,39.9,2.7922463877688797,-0.36044921875,0.01114260858817959
165.875,63.9375,0.0906494140625,-0.272503662109375,-9.953125,-4.8470703125,-1.259375,60.2,9.4,0.1368194580078125,43.4,4.4648056206977955,0.30830078125,0.002851453335372367
127.0,60.09375,0.68828125,0.3671142578125,8.048828125,9.0490234375,1.116455078125,47.9,3.2,0.2145416259765625,50.2,9.237124453549786,2.07373046875,0.008835476047390111
108.375,50.75,1.304296875,0.94697265625,21.128125,28.8015625,1.03837890625,44.0,8.2,0.11767578125,31.6,6.40642195786333,1.4205078125,0.08172101297905525
108.375,57.6875,2.4015625,2.0720703125,42.875,37.971875,1.347265625,37.4,2.8,0.2630859375,63.0,23.122043345841586,1.1673828125,0.24870163690476188
131.375,61.0,0.0425567626953125,-0.015613937377929687,-0.2366241455078125,0.3373779296875,-0.578082275390625,46.4,19.299999999999997,0.021870803833007813,34.7,2.4081263432125612,-3.20849609375,0.0024443614017049986
100.3125,40.625,2.613671875,2.2783203125,47.33125,37.090625,1.6115234375,34.8,5.6,0.4296875,58.4,21.2860715300613,1.160546875,0.3345293898809524
105.125,49.90625,2.678515625,2.196875,47.709375,46.5390625,1.1962890625,35.3,8.3,0.27421875,46.400000000000006,13.204437452992948,1.1935546874999998,0.3233621651785714
80.6875,54.1875,3.101171875,2.9349609375,68.13749999999999,35.8328125,1.98935546875,33.2,5.2,0.3412109375,69.3,27.226720544503895,1.0569335937500002,0.39803214905753975
91.1875,51.40625,2.305859375,2.1412109375,50.36875,25.9984375,2.050390625,36.6,2.2,0.2744140625,68.0,20.67772292594801,1.077734375,0.22990891943400166
130.25,58.40625,0.40693359375,-0.04083404541015625,2.5193359375,4.509765625,0.5693359375,39.0,34.4,0.0288055419921875,30.0,3.817401643679555,-5.891015625,0.013585298538934537
127.75,51.78125,0.02056884765625,0.015966796875,0.5162109375,0.738232421875,0.7362060546875,50.8,23.2,0.00052947998046875,42.099999999999994,6.4635107579050075,1.2919921875,0.0009962725164708408
129.25,45.09375,0.75771484375,0.36142578125,14.05,15.828125,0.9068359375,50.4,13.6,0.00986328125,38.2,4.690840717282862,2.094921875,0.055531672103937724
158.875,58.4375,0.66416015625,-0.01687774658203125,3.933203125,7.199609375,0.54638671875,40.0,16.2,0.05306243896484375,28.8,4.6448018850845205,2.825,0.04067096640338828
117.3125,51.59375,0.0630859375,0.0572509765625,1.5056640625,2.19296875,0.7572265625,41.4,23.0,0.001873779296875,31.6,2.6431601526953914,1.1021484375,0.0033556141572840077
108.25,63.9375,0.2248779296875,0.1505615234375,3.892578125,4.48671875,0.951806640625,45.4,11.6,0.1167755126953125,42.0,7.675738869199876,1.4587890625,0.02014947210992133
201.125,75.1875,0.247955322265625,-0.508740234375,-6.784765625,-3.92578125,2.3806640625,34.2,10.8,0.451416015625,46.6,14.563112145499426,-0.37822265625,0.016190634181356838
131.5,55.1875,0.547705078125,-0.081866455078125,2.2083984375,6.21484375,0.2613525390625,50.2,9.2,0.2140451431274414,36.8,2.8368488897917175,-10.37734375,0.05722411052489178
109.75,81.125,0.598095703125,-0.0915863037109375,1.360205078125,6.417187500000001,0.10200805664062501,58.9,13.2,0.0868377685546875,44.3,2.770543579450506,-8.65810546875,0.04827834383498446
123.9375,54.6875,0.739501953125,0.13893585205078124,4.185791015625,9.11015625,0.47469482421875,49.2,5.7,0.26864013671875,32.400000000000006,2.4590449160039203,-6.7505859375,0.04262513914308348
130.625,60.21875,0.50166015625,0.07886199951171874,6.0228515625,7.998828125,0.6822021484375,55.1,12.2,0.08646888732910156,39.8,2.454234094748673,4.6228515625,0.041698795589176454
140.25,62.09375,0.1492462158203125,-0.337890625,-7.1375,-3.23203125,2.6825195312499996,52.599999999999994,10.5,0.1130859375,38.3,3.0628783370216768,-0.42303161621093754,0.013401550231994568
111.625,56.9375,0.7685546875,-0.17389678955078125,2.405029296875,6.3048828125,0.187939453125,47.599999999999994,8.3,0.28113250732421874,31.3,3.0739839576482257,1.12158203125,0.029628664588991736
119.1875,45.25,1.05009765625,0.67197265625,19.403125,24.271875,0.82158203125,45.2,10.8,0.10849609375,30.4,2.4408029654764123,1.573828125,0.09801688762626262
132.125,60.53125,0.762353515625,0.25992431640625,8.769921875,11.314062499999999,0.783349609375,41.8,11.4,0.24514007568359375,33.0,2.7325295205389883,3.0470703125,0.06862149325284092
149.625,63.21875,0.128497314453125,-0.01120758056640625,0.520843505859375,1.334033203125,0.213958740234375,50.8,5.4,0.02630767822265625,30.4,2.5470280599403936,15.8146484375,0.010622151692708333
116.5,50.8125,0.918212890625,0.16680908203125,9.335546875,15.302343749999999,0.6145751953125,50.1,12.1,0.21904830932617186,35.3,3.1421499581195036,5.437890625,0.07581505408653846
